Rank,Bang For Buck Score,Points,Price,Title,Winery,Variety,Country,Province,Designation
1,76,96,20,Rulo 2007 Syrah (Columbia Valley (WA)),Rulo,Syrah,US,Washington,
2(tie),69,96,27,The Eyrie Vineyards 2014 Estate Chardonnay (Dundee Hills),The Eyrie Vineyards,Chardonnay,US,Oregon,Estate
2(tie),69,96,27,Isole e Olena 2010  Chianti Classico,Isole e Olena,Red Blend,Italy,Tuscany,
2(tie),69,96,27,Donkey & Goat 2012 Grenache Noir Grenache (El Dorado),Donkey & Goat,Grenache,US,California,Grenache Noir
5(tie),68,96,28,Eichinger 2014 Gaisberg Reserve Riesling (Kamptal),Eichinger,Riesling,Austria,Kamptal,Gaisberg Reserve
5(tie),68,96,28,Château Filhot 2014  Sauternes,Château Filhot,Bordeaux-style White Blend,France,Bordeaux,
7,67,96,29,Domaines Schlumberger 2014 Saering Grand Cru Riesling (Alsace),Domaines Schlumberger,Riesling,France,Alsace,Saering Grand Cru
8(tie),66,96,30,Sineann 2015 TFL Pinot Noir (Willamette Valley),Sineann,Pinot Noir,US,Oregon,TFL
8(tie),66,96,30,Alvear NV Solera 1927 Pedro Ximénez (Montilla-Moriles),Alvear,Pedro Ximénez,Spain,Andalucia,Solera 1927
8(tie),66,96,30,Efeste 2009 Lola Chardonnay (Columbia Valley (WA)),Efeste,Chardonnay,US,Washington,Lola
